ID,Raw Text,Task,Person,Deadline,Category,Cleaned Text
35,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings,mia is assigned to send invitations for the annual party
36,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work,noah should prepare a presentation for the conference
37,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
38,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
39,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
40,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
41,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
42,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
43,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
44,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household,alice should clean the room before 5 pm today
45,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal,sarah has to book flight tickets by tomorrow evening
46,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
47,Lucas needs to repair the broken chair before Saturday.,Repair broken chair,Lucas,Before Saturday,Household,lucas needs to repair the broken chair before saturday
48,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
49,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
50,Lucas needs to repair the broken chair before Saturday.,Repair broken chair,Lucas,Before Saturday,Household,lucas needs to repair the broken chair before saturday
51,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
52,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
53,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
54,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
55,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
56,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
57,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
58,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
59,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings,mia is assigned to send invitations for the annual party
60,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
61,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household,ava needs to clean the garden this afternoon
62,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
63,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
64,Olivia should finalize the budget report before next Monday.,Finalize budget report,Olivia,Before next Monday,Work,olivia should finalize the budget report before next monday
65,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
66,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping,sophia must order groceries before 7 pm
67,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings,mia is assigned to send invitations for the annual party
68,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping,sophia must order groceries before 7 pm
69,Liam must schedule the meeting with the vendor.,Schedule meeting,Liam,Not mentioned,Meetings,liam must schedule the meeting with the vendor
70,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings,mia is assigned to send invitations for the annual party
71,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
72,Sarah has to book flight tickets by tomorrow evening.,Book flight tickets,Sarah,Tomorrow evening,Personal,sarah has to book flight tickets by tomorrow evening
73,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
74,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings,james is responsible for arranging the conference call
75,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
76,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
77,The manager assigned David to prepare the meeting notes.,Prepare meeting notes,David,Not mentioned,Meetings,the manager assigned david to prepare the meeting notes
78,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings,james is responsible for arranging the conference call
79,James is responsible for arranging the conference call.,Arrange conference call,James,Not mentioned,Meetings,james is responsible for arranging the conference call
80,John must submit the report by Monday.,Submit report,John,Monday,Work,john must submit the report by monday
81,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
82,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping,sophia must order groceries before 7 pm
83,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household,alice should clean the room before 5 pm today
84,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
85,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
86,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
87,Sophia must order groceries before 7 PM.,Order groceries,Sophia,Before 7 PM,Shopping,sophia must order groceries before 7 pm
88,Daniel has to submit the tax documents by April 15.,Submit tax documents,Daniel,April 15,Work,daniel has to submit the tax documents by april 15
89,Isabella has to buy a birthday gift for Mom.,Buy birthday gift,Isabella,Not mentioned,Shopping,isabella has to buy a birthday gift for mom
90,Emma needs to send the email updates to the team today.,Send email updates,Emma,Today,Work,emma needs to send the email updates to the team today
91,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household,ava needs to clean the garden this afternoon
92,Alice should clean the room before 5 PM today.,Clean the room,Alice,5 PM today,Household,alice should clean the room before 5 pm today
93,Noah should prepare a presentation for the conference.,Prepare presentation,Noah,Not mentioned,Work,noah should prepare a presentation for the conference
94,Ava needs to clean the garden this afternoon.,Clean the garden,Ava,This afternoon,Household,ava needs to clean the garden this afternoon
95,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
96,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
97,Rahul has to buy snacks for all of us.,Buy snacks,Rahul,Not mentioned,Shopping,rahul has to buy snacks for all of us
98,Mia is assigned to send invitations for the annual party.,Send invitations,Mia,Not mentioned,Meetings,mia is assigned to send invitations for the annual party
99,Charlotte must review the marketing campaign draft by Wednesday.,Review marketing campaign,Charlotte,Wednesday,Work,charlotte must review the marketing campaign draft by wednesday
100,Michael should fix the leaking tap by this weekend.,Fix the leaking tap,Michael,This weekend,Household,michael should fix the leaking tap by this weekend
